Destination,District,Review_Count,Primary_Category,Nature_Score,Culture_Score,Adventure_Score,Food_Score,Wellness_Score,Entertainment_Score,Shopping_Score,Family_Score
Kirala Kele Sanctuary,Matara,27,Wellness,0.278,0.0,0.231,0.077,0.444,0.0,0.0,0.0
Kirinda Beach,Hambantota,206,Nature,0.667,0.5,0.154,0.308,0.667,0.333,0.667,0.667
Kirindi Ella Waterfall,Rathnapura,150,Adventure,0.667,0.0,0.692,0.077,0.222,0.556,0.0,0.667
Kolapathana waterfall,Hatton,228,Adventure,0.778,0.143,0.846,0.077,0.444,0.222,0.0,0.444
Kombukara Nature Pool and Secre,Badulla,105,Wellness,0.5,0.0,0.385,0.154,0.778,0.333,0.111,0.667
Kurunagela camp site,Kurunagela,16,Adventure,0.056,0.0,0.154,0.0,0.111,0.0,0.0,0.0
Kurunagela clock tower,Kurunagela,778,Culture,0.333,0.643,0.231,0.077,0.111,0.333,0.444,0.111
Kurunagela lake jogging path,Kurunagela,18,Wellness,0.167,0.0,0.154,0.0,0.556,0.111,0.0,0.222
Kurundu Oya Ella Falls,Badulla,51,Nature,0.611,0.071,0.385,0.0,0.111,0.222,0.0,0.222
Lagoon boat tour and Bird watching with the beautiful nature,Hambantota,11,Wellness,0.222,0.0,0.0,0.077,0.556,0.222,0.0,0.0
Lake round kurunagela,Kurunagela,298,Wellness,0.611,0.0,0.308,0.385,0.889,0.444,0.222,0.778
Lanka Ella - Waterfall,Badulla,138,Adventure,0.667,0.071,0.692,0.0,0.556,0.333,0.0,0.111
Laxapana waterfall,Hatton,453,Nature,0.833,0.143,0.692,0.077,0.667,0.444,0.222,0.778
Lighthouse - Galle,Galle,196,Wellness,0.556,0.786,0.231,0.538,1.0,0.444,0.556,0.556
Lighthouse - Hambantota,Hambantota,12,Adventure,0.111,0.071,0.154,0.0,0.0,0.111,0.0,0.0
Lover's leap waterfall,Hatton,287,Nature,0.889,0.286,0.846,0.077,0.778,0.222,0.0,0.556
Lucky land spice garden,Matale,23,Nature,0.167,0.0,0.077,0.077,0.111,0.111,0.0,0.0
Madanagiri Ella,Rathnapura,16,Nature,0.167,0.0,0.154,0.0,0.111,0.111,0.0,0.111
Madiha Beach,Matara,176,Wellness,0.444,0.0,0.154,0.538,0.667,0.556,0.222,0.444
Madunagala Hot Water Spring,Hambantota,224,Family,0.5,0.143,0.077,0.154,0.333,0.444,0.667,0.889
Magampura Ruhunu Heritage Museum,Hambantota,11,Entertainment,0.111,0.286,0.154,0.0,0.0,0.333,0.0,0.0
Mahamodara Beach Park & Marine Walk,Galle,108,Wellness,0.5,0.071,0.154,0.154,1.0,0.222,0.222,0.556
Mapalana Ella Falls,Rathnapura,83,Nature,0.556,0.143,0.231,0.0,0.333,0.222,0.0,0.111
Marakkala Ella,Rathnapura,14,Nature,0.444,0.071,0.308,0.0,0.0,0.111,0.0,0.111
Maraluwawa raja maha viharaya,Kurunagela,64,Wellness,0.667,0.214,0.154,0.0,1.0,0.0,0.0,0.0
Maritime Museum,Galle,210,Culture,0.222,0.643,0.154,0.154,0.556,0.444,0.111,0.556
Maruthamunai beach,Kalmunai,110,Family,0.389,0.071,0.077,0.231,0.556,0.333,0.0,0.667
Matale town -  view point,Matale,31,Nature,0.167,0.071,0.0,0.0,0.111,0.111,0.0,0.0
Matara Beach Park,Matara,172,Family,0.5,0.071,0.077,0.308,0.667,0.222,0.333,0.778
Matara Bodhiya,Matara,207,Wellness,0.278,0.5,0.0,0.0,1.0,0.0,0.0,0.111
Matara Fort,Matara,164,Culture,0.389,0.714,0.077,0.462,0.667,0.111,0.444,0.0
Matara Paravi Duwa Beach,Matara,109,Wellness,0.444,0.214,0.077,0.308,0.556,0.222,0.0,0.333
