Hotel_Name,Aspect,Negative,Neutral,Positive,Total,Positive_Percentage,Negative_Percentage,Sentiment_Score
45 Park Lane Dorchester Collection,Cleanliness,0,0,1,1,100.0,0.0,1.0
45 Park Lane Dorchester Collection,Facilities,0,0,1,1,100.0,0.0,1.0
45 Park Lane Dorchester Collection,Food,0,0,5,5,100.0,0.0,1.0
45 Park Lane Dorchester Collection,Location,0,0,2,2,100.0,0.0,1.0
45 Park Lane Dorchester Collection,Room,0,1,4,5,80.0,0.0,0.8
45 Park Lane Dorchester Collection,Staff_Service,0,0,10,10,100.0,0.0,1.0
45 Park Lane Dorchester Collection,Value,0,1,1,2,50.0,0.0,0.5
88 Studios,Cleanliness,7,51,133,191,69.63,3.66,0.66
88 Studios,Facilities,6,28,60,94,63.83,6.38,0.574
88 Studios,Food,1,6,15,22,68.18,4.55,0.636
88 Studios,Location,9,58,103,170,60.59,5.29,0.553
88 Studios,Room,23,97,180,300,60.0,7.67,0.523
88 Studios,Staff_Service,15,45,92,152,60.53,9.87,0.507
88 Studios,Value,3,15,29,47,61.7,6.38,0.553
88 Studios,Wellness,0,0,1,1,100.0,0.0,1.0
9Hotel Republique,Cleanliness,0,10,40,50,80.0,0.0,0.8
9Hotel Republique,Facilities,2,3,14,19,73.68,10.53,0.632
9Hotel Republique,Food,1,6,31,38,81.58,2.63,0.789
9Hotel Republique,Location,3,21,50,74,67.57,4.05,0.635
9Hotel Republique,Room,7,25,76,108,70.37,6.48,0.639
9Hotel Republique,Staff_Service,3,12,80,95,84.21,3.16,0.811
9Hotel Republique,Value,1,4,9,14,64.29,7.14,0.571
9Hotel Republique,Wellness,2,2,2,6,33.33,33.33,0.0
A La Villa Madame,Cleanliness,0,1,8,9,88.89,0.0,0.889
A La Villa Madame,Food,0,2,13,15,86.67,0.0,0.867
A La Villa Madame,Location,0,4,16,20,80.0,0.0,0.8
A La Villa Madame,Room,0,2,18,20,90.0,0.0,0.9
A La Villa Madame,Staff_Service,0,2,17,19,89.47,0.0,0.895
ABaC Restaurant Hotel Barcelona GL Monumento,Cleanliness,1,0,2,3,66.67,33.33,0.333
ABaC Restaurant Hotel Barcelona GL Monumento,Facilities,0,0,2,2,100.0,0.0,1.0
ABaC Restaurant Hotel Barcelona GL Monumento,Food,2,2,17,21,80.95,9.52,0.714
ABaC Restaurant Hotel Barcelona GL Monumento,Location,0,1,6,7,85.71,0.0,0.857
ABaC Restaurant Hotel Barcelona GL Monumento,Room,1,3,10,14,71.43,7.14,0.643
ABaC Restaurant Hotel Barcelona GL Monumento,Staff_Service,1,1,13,15,86.67,6.67,0.8
ABaC Restaurant Hotel Barcelona GL Monumento,Value,0,0,2,2,100.0,0.0,1.0
ABaC Restaurant Hotel Barcelona GL Monumento,Wellness,0,1,4,5,80.0,0.0,0.8
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Cleanliness,5,11,23,39,58.97,12.82,0.462
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Facilities,7,28,41,76,53.95,9.21,0.447
AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,Food,7,23,55,85,64.71,8.24,0.565
